home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,red_cards,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor,winner_goals,other_team_goals
USSR,Yugoslavia,URS,YUG,1.0,1.0,,,2.0,1.0,USSR,WIN_ON_EXTRA_TIME,1960,1960-07-10,1960-07-10T20:30:00Z,1.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,17966.0,57779,FRA,47926.0,48.8414333,2.2530333,105.0,68.0,,Paris,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,1.0,1.0
Czechoslovakia,USSR,TCH,URS,0.0,3.0,,,0.0,3.0,USSR,WIN_REGULAR,1960,1960-07-06,1960-07-06T20:30:00Z,1.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,25184.0,62337,FRA,66534.0,43.26983,5.396,105.0,68.0,,Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Orange Vélodrome,3.0,0.0
Spain,USSR,ESP,URS,2.0,1.0,,,2.0,1.0,Spain,WIN_REGULAR,1964,1964-06-21,1964-06-21T17:30:00Z,1.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,79115.0,62401,ESP,76806.0,40.4530778,-3.6885194,105.0,68.0,,Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,,2.0,1.0
Spain,Hungary,ESP,HUN,1.0,1.0,,,2.0,1.0,Spain,WIN_ON_EXTRA_TIME,1964,1964-06-17,1964-06-17T19:00:00Z,1.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,34713.0,62401,ESP,76806.0,40.4530778,-3.6885194,105.0,68.0,,Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,,1.0,1.0
Italy,Yugoslavia,ITA,YUG,2.0,0.0,,,2.0,0.0,Italy,WIN_REGULAR,1968,1968-06-10,1968-06-10T20:15:00Z,1.0,,1,,,,,,FINISHED,REPLAY,FINAL,FINAL,32886.0,57775,ITA,69689.0,41.9339222,12.4546833,105.0,68.0,,Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico,2.0,0.0
Italy,Yugoslavia,ITA,YUG,1.0,1.0,,,1.0,1.0,Italy,DRAW,1968,1968-06-08,1968-06-08T21:15:00Z,1.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,68817.0,57775,ITA,69689.0,41.9339222,12.4546833,105.0,68.0,,Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico,1.0,1.0
Italy,USSR,ITA,URS,0.0,0.0,,,0.0,0.0,Italy,DRAW,1968,1968-06-05,1968-06-05T17:00:00Z,1.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,68582.0,62425,ITA,54726.0,40.8280889,14.1928694,105.0,68.0,,Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,0.0,0.0
West Germany,USSR,FRG,URS,3.0,0.0,,,3.0,0.0,West Germany,WIN_REGULAR,1972,1972-06-18,1972-06-18T15:00:00Z,1.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,43066.0,62073,BEL,48693.0,50.8957583,4.3339472,105.0,68.0,,Brussels,King Baudouin Stadium,King Baudouin Stadium,King Baudouin Stadium,King Baudouin Stadium,King Baudouin Stadium,3.0,0.0
Belgium,West Germany,BEL,FRG,1.0,2.0,,,1.0,2.0,West Germany,WIN_REGULAR,1972,1972-06-14,1972-06-14T19:00:00Z,1.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,55601.0,62074,BEL,14385.0,51.2324861,4.4718861,105.0,68.0,,Deurne,Bosuil,Bosuil,Bosuil,Bosuil,No commercial name,2.0,1.0
Czechoslovakia,West Germany,TCH,FRG,2.0,2.0,5.0,3.0,2.0,2.0,Czechoslovakia,WIN_ON_PENALTIES,1976,1976-06-20,1976-06-20T19:15:00Z,1.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,30790.0,53479,SRB,49450.0,44.7832028,20.4649167,105.0,68.0,,Belgrade,Stadion Rajko Mitić,Stadion Rajko Mitic,Stadion Rajko Mitić,Stadion Rajko Mitić,Stadion Rajko Mitić,2.0,2.0
Czechoslovakia,Netherlands,TCH,NED,1.0,1.0,,,3.0,1.0,Czechoslovakia,WIN_ON_EXTRA_TIME,1976,1976-06-16,1976-06-16T19:15:00Z,1.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,17879.0,62092,CRO,25074.0,45.8188722,16.0180528,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 60, 'second': 0}, 'international_name': 'Jaroslav Pollák', 'club_shirt_name': 'Pollák', 'country_code': 'TCH', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None}, {'phase': 'SECOND_HALF', 'time': {'minute': 76, 'second': 0}, 'international_name': 'Johan Neeskens', 'club_shirt_name': 'Neeskens', 'country_code': 'NED', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 115, 'second': 0}, 'international_name': 'Wim van Hanegem', 'club_shirt_name': 'Van Hanegem', 'country_code': 'NED', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None}]",Zagreb,Stadion Maksimir,Stadion Maksimir,Stadion Maksimir,Stadion Maksimir,Stadion Maksimir,1.0,1.0
France,Spain,FRA,ESP,2.0,0.0,,,2.0,0.0,France,WIN_REGULAR,1984,1984-06-27,1984-06-27T18:00:00Z,2.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,47368.0,57779,FRA,47926.0,48.8414333,2.2530333,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 85, 'second': 0}, 'international_name': 'Yvon Le Roux', 'club_shirt_name': 'Le Roux', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': None}]",Paris,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,2.0,0.0
France,Portugal,FRA,POR,1.0,1.0,,,3.0,2.0,France,WIN_ON_EXTRA_TIME,1984,1984-06-23,1984-06-23T18:00:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,54848.0,62337,FRA,66534.0,43.26983,5.396,105.0,68.0,,Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Orange Vélodrome,1.0,1.0
France,Yugoslavia,FRA,YUG,3.0,2.0,,,3.0,2.0,France,WIN_REGULAR,1984,1984-06-19,1984-06-19T18:30:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,47510.0,63194,FRA,42000.0,45.4608556,4.390125,105.0,68.0,,Saint-Etienne,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,3.0,2.0
France,Belgium,FRA,BEL,5.0,0.0,,,5.0,0.0,France,WIN_REGULAR,1984,1984-06-16,1984-06-16T15:15:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,51359.0,63199,FRA,35291.0,47.2560056,-1.5247083,105.0,68.0,,Nantes,Stade de la Beaujoire,La Beaujoire,Stade de la Beaujoire,Stade de la Beaujoire,Stade de la Beaujoire,5.0,0.0
